페이지 ID,번호,구분,기능명,동작 설명,예외 및 제약 사항
SEC01_PG01,[1],이미지,앱 로고,"  • 서비스 브랜드 로고 표시
  • 앱 실행 시 가장 먼저 노출되는 요소
  • 사용자가 서비스임을 인지하도록 ","  • 이미지 로딩 실패 시 기본 Placeholder 이미지 표시"
SEC01_PG01,[2],텍스트,서비스 소개,"  • 일정 관리 앱의 주요 기능 소개 ","  • 최대 2줄 표시 
• 화면 크기에 따라 자동 줄바꿈"
SEC01_PG01,[3],버튼,시작하기,"  • 버튼 클릭 시 SEC01_PG02(로그인) 화면 이동
  • 최초 사용자 진입 플로우 시작","  • 화면 전환 실패 시 ""페이지를 불러올 수 없습니다"" 안내"
SEC01_PG02,[1],입력창,로그인 정보 입력,"  • 이메일 및 비밀번호 입력
  • 입력값을 로그인 정보로 사용","  • 이메일 형식 필수 
  • 비밀번호 최소 8자"
SEC01_PG02,[2],버튼,로그인 및 회원가입,"  • 로그인 버튼 클릭시 사용자 인증 수행
  • 회원가입 버튼 클릭 시 SEC01_PG03 이동","  • 입력값 누락 시 로그인 불가"
SEC01_PG02,[3],버튼,소셜 로그인,"  •  Google OAuth 인증 실행
  • 인증 성공 시 홈 이동","  • 인터넷 연결 필요"
SEC01_PG03,[1],버튼,회원가입 안내,"  •  “회원가입” 제목 및 서비스 안내 문구 표시","  •  화면 크기에 따라 자동 줄바꿈 적용
"
SEC01_PG03,[2],입력창,회원정보 입력,"  •  이름, 이메일, 비밀번호, 비밀번호 확인 정보 입력
  •  입력 정보는 회원가입 요청 시 서버로 전달됨
  •  비밀번호 일치 여부를 실시간 검증","  •  이름 최대 20자
  • 이메일 형식 필수
  • 중복 이메일 사용 불가
  •  비밀번호 최소 8자 이상

"
SEC01_PG03,[3],버튼,회원가입,"  • 가입하기 버튼 클릭 시 입력값 검증 수행
  • 회원 정보 저장 후 홈 화면으로 이동
  • 자동 로그인 처리","  • 필수 입력값 누락 시 가입 불가
  • 비밀번호 불일치 시 오류 메세지 표시"
SEC02_PG01,[1],헤더,상단 상태 영역,"  • 현재 날짜 표시
  • 메뉴 버튼 클릭 시 메뉴 기능 실행
  • 알림 버튼 클릭 시 알림 목록 표시

","  • 알림 데이터가 없을 경우 ""새로운 알림이 없습니다"" 표시"
SEC02_PG01,[2],리스트,"오늘 일정 조회 ","  • 오늘 날짜에 등록된 일정 목록 표시
  • 일정 선택 시 SEC02_PG04 이동
  • 완료 여부 확인 가능","  • 일정이 없는 경우 ""등록된 일정이 없습니다"" 표시
  • 최대 20개 표시

"
SEC02_PG01,[3],카드,다가오는 일정 조회,"  • 미래 일정 중 가장 가까운 일정 표시
  • 카드 선택 시 상세 화면 이동

","  • 일정이 없으면 Placeholder 표시"
SEC02_PG01,[4],네비게이션,화면 이동,"  • 홈, 캘린더, 추가, 통계, 설정 화면 이동","  • 현재 화면 선택 시 이동하지 않음"
SEC02_PG02,[1],입력창,일정 정보 입력,"  • 일정 제목 입력
  • 일정 생성 시 기본 정보 저장

","  • 제목 필수 입력
  • 최대 50자"
SEC02_PG02,[2],설정,일정 옵션 설정,"  • 종일 여부 설정
  • 시작일, 종료일 설정- 반복 설정- 알림 설정","  • 종료일은 시작일 이전 선택 불가
  • 알림은 일정 종료 이후 설정 불가"
SEC02_PG02,[3],입력창,"일정 메모 작성 ","  • 일정 상세 내용 입력
  • 저장 시 일정 정보와 함께 저장","  • 최대 500자"
SEC02_PG02,[4],버튼,"저장 및 종료 ","  • 저장 버튼 클릭 시 일정 생성
  • 생성 완료 후 홈 화면 이동
  • 취소 버튼 클릭 시 이전 화면 이동

","  • 제목 미 입력 시 저장 불가"
SEC02_PG03,[1],선택,카테고리 선택,"  • 업무, 개인, 건강, 학습, 가족, 기타 선택
  • 선택 시 체크 상태 표시","  • 중복 선택 가능"
SEC02_PG03,[2],상태,선택 카테고리 표시,"  • 현재 선택된 카테고리 상태 표시","  • 선택하지 않은 경우 기본 상태 유지"
SEC02_PG03,[3],버튼,선택 완료,"  • 확인 버튼 클릭 시 선택 정보 저장
  • 일정 추가 화면으로 복귀","  • 카테고리 미선택 시 경고 메시지 표시"
SEC02_PG04,[1],정보,일정 상세 조회,"  • 제목, 이미지, 날짜 정보 표시
  • 선택된 일정 데이터 조회

","  • 삭제된 일정 조회 불가"
SEC02_PG04,[2],정보,일정 옵션 조회,"  • 시간, 알림, 반복 설정, 메모 표시","  • 설정값이 없으면 “설정 안함” 표시"
SEC02_PG04,[3],버튼,일정 수정 및 삭제,"  • 수정 버튼 클릭 시 일정 수정 화면 이동
  • 삭제 버튼 클릭 시 삭제 확인 팝업 출력","  • 삭제 후 복구 불가
  • 삭제 확인 필요"
SEC02_PG05,[1],헤더,월 선택,"  • 현재 선택된 연도 및 월 표시
  • 이전/다음 월 조회 가능
  • 월 선택 시 캘린더 데이터 갱신","  • 조회 가능한 기간은 최대 ±5년
  • 데이터 로딩 중에는 중복 클릭 제한

"
SEC02_PG05,[2],캘린더,월간 일정 조회,"  • 월별 캘린더 표시
  • 일정이 있는 날짜는 표시 마커 노출
  • 날짜 선택 시 해당 날짜 일정 조회

","  • 일정이 없는 날짜도 선택 가능
  • 미래 날짜 선택 가능

"
SEC02_PG05,[3],리스트,선택 날짜 일정 조회,"  • 선택한 날짜의 일정 목록 표시
  • 일정 클릭 시 SEC02_PG04 이동
  • 시간순 정렬 제공

","  • 일정이 없는 경우 ""등록된 일정이 없습니다"" 표시
  • 최대 20개 표시

"
SEC02_PG05,[4],네비게이션,화면 이동,"  • 홈, 캘린더, 추가, 통계, 설정 화면 이동","  • 현재 화면 재선택 시 동작 없음"
SEC03_PG01,[1],선택,"기간 선택 ","  • 이번 주, 이번 달 등 기간 선택 가능
  • 선택 기간 기준 통게 갱신",데이터 없는 기간 선택 가능
SEC03_PG01,[2],통계,"일정 완료율 조회 ","  • 완료 일정 비율 계산
  • 완료율 그래프 표시
  • 완료 일정 수와 전체 일정 수 표","  • 데이터가 없을 경우 0% 표시
  • 그래프 로드 실패 시 Placeholder 표시"
SEC03_PG01,[3],분석,카테고리 비율 분석,"  • 카테고리별 일정 비율 계산
  • 원형 그래프로 시각화
  • 업무, 개인, 건강 등 비율 제공

","  • 카테고리 데이터가 없을 경우 그래프 미표시
  • 비율 합계는 100% 기준

"
SEC03_PG01,[4],네비게이션,화면 이동,"  • 홈, 캘린더, 추가, 통계, 설정 화면 이동","  • 현재 화면 재선택 시 동작 없음"
SEC04_PG01,[1],프로필 영역,사용자 정보 조회,"  • 프로필 이미지 표시
  • 사용자 이름 및 이메일 표시
  • 계정 상태 확인 가능","  • 프로필 이미지가 없는 경우 기본 이미지 표시
  • 정보 조회 실패 시 기본값 표시

"
SEC04_PG01,[2],메뉴 영역,환경 설정 관리,"  • 계정 관리 진입
  • 알림 설정 변경
  • 캘린더 관리 설정
  • 백업 및 동기화 설정
  • 어플 정보 조회 가능","  • 인터넷 연결이 필요한 메뉴 존재
  • 권한 미허용 시 설정 변경 불가"
SEC04_PG01,[3],버튼,로그아웃,"  • 로그아웃 버튼 클릭 시 현재 세션 종료- 로그인 화면(SEC01_PG02) 이동
  • 자동 로그인 정보 삭제

","  • 저장되지 않은 데이터가 있을 경우 경고 팝업 출력
  • 로그아웃 실패 시 재시도 안내

"